Song_Name,Song_Lyrics,Album_Name,Album_Year,Negative,Neutral,Positive,Compound
Kingdom Come,well walked pouring rain heard voice cries vain voice doom shining room need one day somewhere far away lord need one day well breaking rocks cutting hay yes breaking rocks price pay well river muddy may come clear know well keeping slave burning ray give night take another sight please please give night breaking rocks cutting hay yes breaking rocks price pay sun keeps beating wall mile high tower watching hoping going die breaking rocks breaking rocks breaking rocks said breaking rocks breaking rocks pardon breaking rocks breaking rocks breaking rocks kingdom comes kingdom comes kingdom comes kingdom comes kingdom comes kingdom comes kingdom comes kingdom comes kingdom comes kingdom comes,Scary Monsters (and Super Creeps),1980,0.151,0.659,0.189,0.6369
Because You're Young,psychodelicate girl come play little metal faced boy stay away war torn resigned talk anymore trying prove would like find love back front sides like say pieces broken like say pieces broken hope wrong know young meet stranger night young could nicer makes sad dance life away million dreams million scars punishes hard loving crime took back everything said left nearly mind people know people love seem unhappy dead alive love back front sides like say pieces broken like say pieces broken hope wrong know young meet stranger night young could nicer make sad dance life away million dreams million scars million dreams million scars million,Scary Monsters (and Super Creeps),1980,0.276,0.415,0.31,0.7096
It's No Game (Part 2),silhouettes shadows watch revolution free steps heaven walkie talkie heaven hearth big heads drums full speed pagan game barred event really understand situation moral people fingers broken insulted fascists degrading game documentaries refugees couples gainst target throw rock road breaks pieces draw blinds yesterday much scarier put bullet brain makes papers game children round world put camel shit walls making carpets treadmills garbage sorting game,Scary Monsters (and Super Creeps),1980,0.189,0.691,0.12,-0.6908
Fantastic Voyage,event fantastic voyage turn erosion never get old remember true dignity valuable lives valuable learning live somebody depression want live somebody depression get suppose modern world nobody perfect moving world reason shoot missiles think us fatherless scum forgotten cause never say anything nice wrong words make listen criminal world remember true loyalty valuable lives valuable learning live somebody depression want live somebody depression get suppose sudden movement got write wipe entire race got write still getting educated got write forgotten cause never say anything nice,Lodger,1979,0.251,0.483,0.266,0.2349
African Night Flight,african night flight one time mormon men fall hullabaloo men slide nearest bar undermine chairman went far bent windfall rent sony wonder dollar went got get word elizabeth father ho wished well seemed like another day could fly eye god high burning eye see one days one days got get word one days burning eye see one days one days got get word one days asante habari habari ha asante nabana nabana na asante habari habari ha asante nabana nabana na asante habari habari ha asante nabana nabana na asante habari habari ha asante nabana nabana na getting mood mombasa night flight pushing luck going fly like mad thing bare strip takeoff skimming rhino born slumber less peace struggle child whose screaming dreaming drowned props steely sunshine sick sick lust free life quashed maimed like valuable loved one left unnamed seems like another day could fly eye god high seems like another day could fly eye god high bushland trees wise like orangutan burning eye see one days one days got get word one days burning eye see one days one days got get word one days asante habari habari ha asante nabana nabana na asante habari habari ha asante nabana nabana na asante habari habari ha asante nabana nabana na asante habari habari ha asante nabana nabana na asante habari habari ha asante nabana nabana na asante habari habari ha asante nabana nabana na asante habari habari ha asante nabana nabana na asante habari habari ha asante nabana nabana na,Lodger,1979,0.066,0.692,0.242,0.993
Move On,sometimes feel need move pack bag move move well might take train sail dawn might take girl move move somewhere someone calling chips travelling man maybe trick mind somewhere morning sky bluer eyes somewhere ocean innocent wild africa sleepy people russia horsemen spent nights old kyoto sleeping matted ground cyprus island going rough would love find somewhere place like mahi mahi mahi mahi mahi mahi mahi mahi somewhere someone calling chips stumble like blind man forget forget feeling like shadow drifting like leaf stumble like blind man forget forget forget forget,Lodger,1979,0.158,0.642,0.2,0.7717
Yassassin,yassassin moody guy yassassin walk without sound yassassin working man judge men yassassin life never known came farmlands live city walked proud lustful resonant world want fight want leave drift away yassassin moody guy yassassin walk without sound yassassin working man judge men yassassin life never known look second glances look value love look sun steel look look us someone charge listen say nothing wrong cause got love feared want fight want leave drift away yassassin moody guy yassassin walk without sound yassassin working man judge men yassassin life never known yassassin moody guy yassassin walk without sound yassassin working man judge men yassassin life never known yassassin yassassin yassassin yassassin,Lodger,1979,0.154,0.687,0.16,0.2153
Red Sails,feel little roughed feel bit frightened nearly pin time red sail action wake wrong town boy really get around thunder ocean thunder ocean red sails take make sail along red sails mast tall red sails red sails remember another person green black red scared graffiti wall keep us tune bringing us back home red sails thunder ocean red sails sailor dance like red sail red sail action red sail reaction action boy seen living neon struggle foreign tongue red sails make strong action make sail along life stands still stares hinterland hinterland going sail hinterland far far far far far far far far away far far far far far fa da da da da 1 2 3 4 oooooooh,Lodger,1979,0.089,0.865,0.046,-0.6597
D.J.,home lost job incurably ill think easy realism got girl suppose think dancing feel like dan dare lies think dancing know j play turn around turn around ooh j play turn around turn around j play got believers believing one weekend lights evening faces fast food living nostalgia humble pie bitter fruit j play turn around turn around ooh j say turn around turn around ooh j play got believers believing j play turn around turn around j play turn around turn around j play turn around kiss kiss time flies fun break heart break heart used boss puppet dancer j got believers got believers got believers got believers got believers j play j,Lodger,1979,0.082,0.643,0.275,0.969
Look Back in Anger,know said speaker angel coughed shook crumpled wings closed eyes moved lips time going waiting long waiting waiting look back anger driven night til come waiting long waiting waiting look back anger see eyes til come one seemed hear leafed magazine yawning rubbed sleep away sane seemed waiting long waiting waiting look back anger driven night til come waiting long waiting waiting look back anger feel voice til come waiting long ahhh waiting long waiting waiting waiting long waiting waiting waiting long,Lodger,1979,0.174,0.826,0.0,-0.9451
Boys Keep Swinging,heaven loves clouds part nothing stands way boy clothes always fit life pop cherry boy boy wear uniform boy boys check get girl favorite things boy boys boys boys keep swinging boys always work uncage colours unfurl flag luck kissed hello boy never clone always first line boy boy buy home boy learn drive everything get share boy boys boys boys keep swinging boys always work,Lodger,1979,0.0,0.744,0.256,0.9601
Repetition,johnny man bigger overheads high looks straight ask kids get home around seven cause chevy real old could cadillac school taught right could married anne blue silk blouse could married anne blue silk blouse food table food cold hit even cook good working damn cook well johnny man bigger guess bruises show wears long sleeves space eyes shows could married anne blue silk blouse could married anne blue silk blouse shows shows shows,Lodger,1979,0.034,0.878,0.088,0.4939
Red Money,feel way man man see sky landscape high like nervous disease along tumble sky along project cancelled tumbling central red money hear fall hear well hear really feeling good reet petite got small red box know cause fingers could grope could give away knew must drop stop take away project cancelled tumbling central red money hear fall hear well hear project cancelled tumbling central red money hear fall hear well hear hear hear red money red money red money red money responsibility,Lodger,1979,0.129,0.728,0.143,0.3338
Beauty and the Beast,weaving byroad singing song kind highroad gone wrong smile least say beauty beast something night something day nothing wrong darling something way slaughter air protest wind someone else inside someone could get skinned someone fetch priest say beauty beast darling say beauty beast say beauty beast wanted believe wanted good wanted distractions like every good boy nothing corrupt us nothing compete thank god heaven left us standing feet beauty beast beauty beast say beauty beast darling,“Heroes”,1977,0.192,0.445,0.363,0.9743
Joe the Lion,joe lion went bar couple drinks house said tell nail car boy thanks hesitating kiss boy thanks hesitating never know real story couple dreams get sleep buy god monday slither greasy pipe far good one saw hobble freeway like dreams tonight get sleep get sleep joe lion made iron joe lion went bar couple drinks house fortune teller said nail car tell joe lion went bar couple dreams fortune teller said nail car tell get sleep wind blows cheek day laughs face guess buy gun buy secondhand get sleep joe lion made iron joe lion made iron joe lion made iron joe lion made iron,“Heroes”,1977,0.057,0.718,0.226,0.9607
"""Heroes""",king queen though nothing drive away beat one day heroes one day mean drink time cause lovers fact yes lovers though nothing keep us together could steal time one day heroes forever ever say wish could swim like dolphins like dolphins swim though nothing nothing keep us together beat forever ever heroes one day king queen though nothing drive away heroes one day us one day remember remember standing wall wall guns shot heads heads kissed though nothing could fall nothing could fall shame side beat forever ever heroes one day heroes heroes heroes one day heroes nothing nothing help us maybe lying better stay could safer one day one day,“Heroes”,1977,0.043,0.573,0.384,0.994
Sons of the Silent Age,sons silent age stand platforms blank looks notebooks sit back rows city limits lay bed coming going easy terms sons silent age pace rooms like cell dimension rise year two make war search one inch thoughts decide done baby never let go see know let take another way sons sound sons sound baby baby never let stand another sound let find another way sons sound sons sound sons silent age listen tracks sam therapy king dice sons silent age pick bars cry sons silent age make love dream dream walk glide life never die go sleep one day baby never let go see know let take another way sons sound sons sound baby baby baby ever let stand another sound let find another way sons sound sons sound sons sound sons sound baby baby baby find another way,“Heroes”,1977,0.046,0.846,0.109,0.8292
Blackout,walk past lips cut smile face scalding face cage cage beauty cage high price drink rotting wine hands fearful hands get doctor told someone back town chips cut blackout japanese influence honour stake weather grim ice cages robin hood puff cigarette panthers steaming stalking screaming stay tonight take plane tonight nothing lose nothing gain kiss rain kiss rain kiss rain kiss rain kiss rain rain rain get doctor get streets get protection get feet get direction hot air gets blackout get streets get protection get feet wo ooh streets block getting skin exposure blackout get protection get feet get direction wo ooh get feet get streets get protection,“Heroes”,1977,0.21,0.682,0.108,-0.8931
V-2 Schneider,v 2 schneider v 2 schneider,“Heroes”,1977,0.0,1.0,0.0,0.0
The Secret Life of Arabia,secret life arabia secret secrets never seen secret secrets evergreen running speed life morning thoughts fantasies saw eyes cross fades secret secrets never seen secret secrets evergreen secret life arabia never never seen secret life evergreen secret life arabia must see movie sand eyes walk desert song heroine dies arabia secret secret arabia secret arabia secret secret arabia arabia secret secret arabia arabia secret secret arabia arabia secret secret shhh shhh secret life arabia never never seen secret life evergreen,“Heroes”,1977,0.0,0.955,0.045,0.5719
Breaking Glass,baby breaking glass room listen look carpet drew something awful see wonderful person got problems never touch,Low,1977,0.244,0.598,0.158,-0.25
What in the World,little girl grey eyes never mind say something wait crowd cries wait crowd cries little girl grey eyes deep room never leave room something deep inside yearning deep inside talking gloom world world mood love love love love little bit afraid cause love make cry wait crowd goes wait crowd goes little bit afraid deep room never leave room something deep inside yearning deep inside talking gloom world world mood love love love going say going going real real,Low,1977,0.153,0.514,0.333,0.9721
Sound and Vision,ahhhh ahhhh doo doo doo doo doo doo doo doo doo doo doo wonder sometimes bout sound vision blue blue lectric blue colour room live blue blue pale blinds drawn day nothing read nothing say blue blue sit right waiting gift sound vision sing waiting gift sound vision drifting solitude head wonder sometimes bout sound vision,Low,1977,0.0,0.784,0.216,0.8957
Always Crashing in the Same Car,every chance every chance take take road kilometers red lights always looking left right always crashing car jasmine saw peeping pushed foot floor going round round hotel garage must touching close 94 always crashing car,Low,1977,0.0,0.892,0.108,0.4588
Be My Wife,sometimes get lonely sometimes get nowhere lived world left every place please mine share life stay wife sometimes get lonely sometimes get nowhere lived world left every place please mine share life stay wife sometimes get lonely,Low,1977,0.161,0.645,0.194,0.128
Warszawa,sula vie dilejo sula vie milejo cheli venco deho cheli venco deho malio helibo seyoman cheli venco raero malio malio,Low,1977,0.0,1.0,0.0,0.0
Subterraneans,share bride failing star care line care line care line care line riding shirley shirley shirley share bride failing star,Low,1977,0.184,0.335,0.48,0.8625
Station to Station,return thin white duke throwing darts lovers eyes one magical moment stuff dreams woven bending sound dredging ocean lost circle flashing colour tall room overlooking ocean one magical movement kether malkuth drive like demon station station return thin white duke throwing darts lovers eyes return thin white duke throwing darts lovers eyes return thin white duke making sure white stains mountains mountains sun birds soar could never got keep searching searching believing connect love wonder wonder wonder sought fortune evasive shy drink men protect drink drink drain glass raise glass high side effects cocaine thinking must love late grateful late late late hateful european canon near must one million let day pass without late grateful late late late hateful european canon believe stricken face show kind glow late grateful late late late hateful european canon yes late late late late late european canon near side effects cocaine thinking must love late grateful late late late hateful european canon must one million let day pass without late grateful late late late hateful european canon yes believe stricken face show kind glow late grateful late late late hateful european canon yes late late late late late european canon,Station to Station,1976,0.115,0.632,0.252,0.9879
Golden Years,golden years gold wah wah wah golden years gold wah wah wah golden years gold wah wah wah let hear say life taking nowhere angel come b b b baby look sky life begun nights warm days young come b b b baby baby lost begging save little soul golden years wah wah wah come b b b baby last night loved opening doors pulling strings angel come b b b baby walked luck looked time never look back walk tall act fine come b b b baby stick baby thousand years nothing gonna touch golden years golden years golden years gold wah wah wah come b b b baby days long gonna drive back belonged back dream car twenty foot long cry sweet break heart come b b b baby right gotta get smart wish upon wish upon day upon day believe lord believe way come b b b baby run shadows run shadows run shadows golden years baby lost begging save little soul golden years gold wah wah wah come b b b baby let hear say life taking nowhere angel come b b b baby run shadows run shadows run shadows golden years stick baby thousand years nothing gonna touch golden years golden years golden years gold wah wah wah golden years golden years gold wah wah wah golden years golden years gold wah wah wah golden years gold wah wah wah golden years gold wah wah wah golden years gold wah wah wah golden years gold wah wah wah golden years gold wah wah wah golden years gold wah wah wah golden years gold wah wah wah,Station to Station,1976,0.029,0.857,0.114,0.9657
Word on a Wing,age grand delusion walked life dreams need another change still forced way scheme things say growing growing heart soul age grand delusion walked life dreams sweet name born sweet name born sweet name call born believe mean think well question everything heaven hell lord kneel offer word wing trying hard fit among scheme things safer strange land still care stand light lord lord prayer flies like word wing prayer flies like word wing prayer fit scheme things age grand delusion walked life dreams sweet name born long see never stop vision flowing look twice still glowing long walk walk beside alive sweet name born ready shape scheme things ooh ready shape scheme things ooh ready shape scheme things ooh ready shape scheme things ooh ready shape scheme things ooh lord kneel offer word wing trying hard fit among scheme things safer strange land still care stand light lord lord prayer flies like word wing trying hard fit among scheme things safer strange land still care stand light lord lord prayer flies like word wing prayer flies like word wing prayer fit scheme things,Station to Station,1976,0.074,0.532,0.394,0.9973
TVC 15,tvc 15 oooh every evening bout half eight nine give complete attention good friend mine quadraphonic got channels hologramic tvc 15 brought baby home sat around forlorn saw tvc 15 baby gone crawled right crawled right hologramic tvc 15 demonic tvc 15 maybe pray every night sit pleading send back dream test baby main feature tvc 15 stares back unblinking hologramic tvc 15 one nights may jump rainbow way baby spend time together hologramic tvc 15 baby someplace love rating sky hologramic tvc 15 transition transmission transition transmission tvc 15 uh tvc 15 tvc 15 uh tvc 15 tvc 15 uh tvc 15 tvc 15 uh tvc 15 maybe pray every night sit pleading send back dream test baby main feature tvc 15 stares back unblinking hologramic tvc 15 one nights may jump rainbow way baby spend time together hologramic tvc 15 baby someplace love rating sky hologramic tvc 15 transition transmission transition transmission tvc 15 uh tvc 15 tvc 15 uh tvc 15 tvc 15 uh tvc 15 tvc 15 uh tvc 15 tvc 15 uh tvc 15 tvc 15 uh tvc 15 tvc 15 uh tvc 15 tvc 15 uh tvc 15 tvc 15 uh tvc 15 tvc 15 uh tvc 15 tvc 15 uh tvc,Station to Station,1976,0.0,0.896,0.104,0.9686
Stay,week dragged past slowly days fell knees maybe take something help hope someone takes guess always change weather time know could get together casually mention tonight would crazy tonight stay meant say something never say stay time really meant bad time cause never really tell somebody wants something want heart wrecker heart wrecker make delight life vague brings someone new time tomorrow know know happened stay meant say something never say stay time really meant bad time cause never really tell somebody wants much stay meant say something never say stay time really meant bad time cause never really tell somebody wants something want,Station to Station,1976,0.134,0.753,0.113,-0.5477
Wild Is the Wind,love love love love say let fly away love like wind wild wind wild wind give one caress satisfy hungriness let wind blow heart wild wind wild wind touch hear sound mandolins kiss kiss life begins spring things know life like leaf clings tree darling cling like creatures wind wild wind wild wind touch hear sound mandolins kiss kiss life begins spring things know life like leaf clings tree darling cling like creatures wind wild wind wild wind wild wind wild wind wild wind,Station to Station,1976,0.0,0.548,0.452,0.9949
Young Americans,pulled behind bridge lays frowns gee life funny thing still young kissed took ring took babies took minutes took nowhere heaven knows taken anything night wants young american young american young american wants young american right wants young american scanning life picture window finds slinky vagabond coughs passes ford mustang heaven forbid take anything freak type nothing misses step cuts hand showing nothing swoops like song cries papa heroes gone night wants young american young american young american wants young american right wants young american way washington bread winner begs bathroom floor live twenty years die fifty night wants young american young american young american wants young american right right wants young american remember president nixon remember bills pay even yesterday un american idol sing falsetto bout leather leather everywhere myth left ghetto well well well would carry razor case case depression sit hands bus survivors blushing afro sheeners close love well poster love well barbie doll heart broken like night night want young american young american young american want young american right right want young american pimp hustler pimp got caddy lady got chrysler black got respect white got soul train mama got cramps look hands ache heard news today boy got suite got defeat man say woman sock jaw child hold without judging pen write die proud still got faces one damn song make break cry night want young american young american young american want young american right want young american young american young american young american want young american night want want young american young american want young american right want young american young american young american want young american night,Young Americans,1975,0.134,0.687,0.179,0.6286
Win,hope crazy feel driving wheel slow let someone love ooh never touched since started feel nothing hide never seen hanging naked wired somebody lied say hip alive smile spreading thin seems trying lose since supposed grin got win ooh got ooh fresh pages secret thinker sometimes listening aloud life lies dumb heroes wear wound honor make someone proud someone like allowed start fires smile spreading thin seems trying lose since supposed grin got win ooh got ooh smile spreading thin seems trying lose since supposed grin got win ooh got ooh got win smile spreading thin ooh seek believe seems trying lose ooh since supposed grin ooh got got win ooh ooh seek believe got win ooh woo hoo ooh got got got ooh,Young Americans,1975,0.117,0.49,0.394,0.9943
Fascination,got use every time feel fascination stand still got use every time think put dear fascination moves sweeping near still take fascination fascination sure enough fascination takes part takes part heartbeat heartbeat live fever live fever raging inside fascination fascination takes part takes part help help got use got use every time fascination comes around soul calling like walking seems everywhere turn hope waiting know people think little crazy ooh pleasure seeks thing think like fascination still take fascination fascination sure enough fascination ooh takes part come come come come come heartbeat heartbeat live fever live fever raging inside raging inside fascination fascination takes part come come come come help help got use got every time every time fascination comes around fascination sure enough sure enough takes part takes part heartbeat heartbeat heartbeat live fever live fever raging raging inside fascination fascination fascination fascination takes part fascinate fa babe help fascination got use got use every time every time fascination comes around coming around coming fascination fascination fascination sure enough fascination takes part heartbeat fascination live fever raging inside fascination fascination fascination fascination fascination fascination takes part help fascination help got use fascination every time fascination fascination comes around fascination fascination fascination taking part heartbeat live fever raging inside fascination takes part help got use every time every time every time fascination comes around fascination,Young Americans,1975,0.07,0.42,0.51,0.9994
Right,taking right way keeping back taking right way never turning back never need never turning back flying sweet place coming inside safe flying sweet place never known fail never never known fail wishing wishing wishing wishing sometimes sometimes right till one time one time gets nobody nobody get sometimes wishing sometimes give back giving darling darling giving gimme gimme gimme taking sometimes loving right take one time gimme giving giving back taking right way taking keeping back taking right way never turning back never need never turning back taking right way keeping back taking right way never turning back never need never turning back taking taking right way keeping back taking taking right way never turning back never need never turning back flying sweet place coming inside safe flying sweet place never known fail never never known fail taking right way taking right way keeping back keeping back taking right way taking right way never turning back never need never never turning back never need never turning back never need never need never turning back never need never turning back never need never never never never never never never never never never never need never never never never never never turning back never never never turning back never turning back never never never never turning back never never never never never never never never never turning back never need never need never turning back never never never never never turning back never need,Young Americans,1975,0.03,0.79,0.18,0.9918
Somebody Up There Likes Me,everybody token everybody wall blessing papers thanking one hugging babies kissing ladies knowing think writing wall divine soul shines breaks night sleep tight ever loving face smiles whole human race says somebody got eye soul hand heart says hurry baby somebody somebody likes savage son tv tube planets wrote day due wisest men around predicted man found looked lot like everyone sense could see nothing left eye unmoved plan use somebody divine ooh ooh soul shines somebody breaks night sleep tight somebody somebody ever loving face ooh ooh smiles whole human race somebody somebody somebody somebody got eye soul ooh ooh hand heart says hurry baby somebody somebody somebody plays song tune makes makes makes stronger babe way young man judged done pick screen look like keep eye soul hand heart says hurry baby somebody somebody leaders come hate people know given time leaders go tell hold spell walk hold well smile like valentino could sell anything somebody somebody keep eye soul keep hand heart hurry baby hurry baby somebody somebody likes somebody somebody somebody somebody somebody somebody somebody somebody somebody somebody somebody somebody somebody somebody somebody somebody somebody somebody somebody somebody somebody somebody somebody remember somebody peace well space ramble somebody somebody space boogie soul shines divine somebody somebody somebody somebody ooh soul shines ooh ooh divine somebody somebody ooh somebody ooh somebody somebody somebody somebody ooh remember peace well remember peace well somebody ooh remember peace well soul shines somebody ooh soul shines divine somebody somebody ooh soul shines divine somebody,Young Americans,1975,0.02,0.657,0.322,0.9983
Across the Universe (Ft. John Lennon),words flowing like endless rain paper cup slither wildly slip away across universe pools sorrow waves joy drifting opened mind possessing caressing nothing going change world nothing going change world nothing going change world nothing going change world images broken light dance like million eyes call across universe thoughts meander like restless wind inside letterbox tumble blindly make way across universe nothing going change world nothing going change world nothing going change world nothing going change world sounds laughter shades life ringing open ears inciting inviting limitless undying love shines around like million suns calls across universe nothing going change world nothing going change world nothing going change world nothing going change world nothing going change world nothing going change world nothing nothing nothing nothing going nothing going change world nothing nothing nothing nothing going nothing going change world nothing going change nothing going change nothing going change nothing going change nothing going change nothing going change nothing going change world nothing going change nothing going change nothing going change world,Young Americans,1975,0.045,0.833,0.122,0.9313
Can You Hear Me,lovers understand closer others man talk heartaches ooh remember checking one day see faking hear feel inside show love love take right take right take right take right many others many times sixty new cities find want love badly want know harder take anyone harder fall hear call hear feel inside show love love take right take right take right take right well hear feel inside show love show sweet sweet love love love show love take right take right take right take right take right love life baby take right love life take right take right right love life take right take take take right take right right take mmm take right heart well hear take feel take take right take ooh right right right heart take feel take right take right heart take ooh right heart right heart take take take take take right right heart ooh,Young Americans,1975,0.029,0.623,0.348,0.9966
Fame (Ft. John Lennon),fame fame makes man take things fame fame lets loose hard swallow fame fame puts things hollow fame fame fame brain flame burns change keep insane sane fame fame fame fame like limo fame fame get tomorrow fame fame need borrow fame fame fame nein mine line bind time drives crime fame fame could best could really really babe could babe could babe could babe could babe wonder reject first fame fame fame fame fame wonder cool fool fame fame fame bully chilly got get rain check pain pain fame fame fame fame fame fame fame fame fame fame fame fame fame fame fame fame fame fame fame fame fame fame fame fame fame name feeling gay feeling gay,Young Americans,1975,0.103,0.203,0.695,0.9992
Future Legend,awooooooooooo death last corpses lay rotting slimy thoroughfare shutters lifted inch temperance building high poacher hill red mutant eyes gazed hunger city big wheels fleas size rats sucked rats size cats ten thousand peoploids split small tribes coveting highest sterile skyscrapers like packs dogs assaulting glass fronts love avenue ripping rewrapping mink shiny silver fox legwarmers family badge sapphire cracked emerald day year diamond dogs rock roll genocide,Diamond Dogs,1974,0.148,0.741,0.111,-0.4767
Diamond Dogs,rock n roll genocide pulled oxygen tent asked latest party silicone hump ten inch stump dressed like priest tod browning freak crawling alley hands knee sure protected plain see diamond dogs poachers hide behind trees hunt ground mannequins kill appeal come keep friend serene come baby come come well come gone come garden baby catch death fog young girl call diamond dogs young girl call diamond dogs halloween jack real cool cat lives top manhattan chase elevator broke slides rope onto street tarzan go man go meet little hussy ghost town approach face sans feature wears dali brooch sweetly reminiscent something mother used bake wrecked paralysed diamond dogs stabilised come keep friend serene come baby come come well come gone come garden baby catch death fog young girl call diamond dogs young girl call diamond dogs oo oo ooh call diamond dogs oo oo ooh call diamond dogs hoo awoooooo woof woof year scavenger season bitch sashay boardwalk scurry ditch another future song lonely little kitsch gonna sorrow try wake tomorrow come keep friend serene come baby come come well come gone come garden baby catch death fog young girl call diamond dogs young girl call diamond dogs oo oo ooh call diamond dogs oo oo ooh call diamond dogs bow wow woof woof bow wow wow call diamond dogs dogs call diamond dogs call call call diamond dogs call call ooh hoo call diamond dogs keep cool diamond dogs rule ok beware diamond dogs beware diamond dogs beware diamond dogs beware diamond dogs,Diamond Dogs,1974,0.102,0.581,0.316,0.9959
Sweet Thing,safe city love doorway wrangle screams dawn putting pain stranger like portrait flesh trails leash see scared lonely break room yawn run centre things knowing one says boys boys sweet thing boys boys sweet thing sweet thing want boys get thing hope boys cheap thing cheap thing glad older makes feel important free make smile way steal every moment trade curse bless turn crossroads hamburgers boys boys sweet thing boys boys sweet thing sweet thing want boys get thing hope boys cheap thing cheap thing,Diamond Dogs,1974,0.138,0.477,0.386,0.9814
Candidate,make deal like candidate pretend walking home cause future stake set amazing even smells like street bar end meet friend someone scrawled walls smell blood les tricoteuses wrote scandals bars much fun poisonous people spreading rumours lies stories made make sing make scream one makes wish never seen shop corner selling papier mâché making bullet proof faces charlie manson cassius clay want boys get thing scream line want need anyone time tres butch little number whines dirty want good really good bad go pieces want boys get thing well street live could hold head put another bed another floor back car cellar church door ajar well guess must looking different kind stop trying til break minds til sun drips blood seedy young knights press ground shaking fright guess could cruise one time side fine buy drugs watch band jump river holding hands,Diamond Dogs,1974,0.173,0.613,0.214,0.5378
Rebel Rebel,doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo got mother whirl sure boy girl babe hair alright babe let go tonight like like like dancing look divine love bands playing hard want want fast put say wrong tacky thing put rebel rebel torn dress rebel rebel face mess rebel rebel could know hot tramp love bridge doo doo doo doo doo doo doo doo got mother whirl cause sure boy girl babe hair alright babe let stay tonight like like like dancing look divine love bands playing hard want want fast put say wrong tacky thing put rebel rebel torn dress rebel rebel face mess rebel rebel could know hot tramp love ooh doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo rebel rebel torn dress rebel rebel face mess rebel rebel could know hot tramp love torn dress face mess get enough enough test got transmission live wire got cue line handful ludes wanna count dudes love dress juvenile success face mess could know said could know wanna know calamity child chi chi chi chi wanna go looks like cause torn dress face mess ooh face mess ooh ooh could know could know,Diamond Dogs,1974,0.223,0.535,0.242,0.9623
Rock 'n' Roll with Me,always one knew sold us likes always wanted new surroundings room rent lizards lay crying heat trying remember meet would take foxy kind stand tens thousands found demand rock roll one else rather nobody tears rock roll gentle hearts counted queue sight sounds breath quite doubting found door lets rock roll one else rather nobody tears rock roll rock roll one else rather nobody rock roll rock roll rock roll one else rather rather nobody tears tears rock roll,Diamond Dogs,1974,0.16,0.742,0.098,-0.4201
We Are the Dead,something kind hit today looked wondered saw things way people hold us blame hit today hit today taking hard time pass reply changed mind fighting eyes blind taking hard taking hard yet feel paper choking nightly tell son want elusive walk far breaking new boys deceive next kin dancing dogs decay defecating ecstasy ally leecher locator virgin king love fuck pumps nimble dress trails dress urchin one hear rails seen said dead one thing kind touched today looked counted times laid pressing love night knowing right knowing right living breath hope shared trusting sons love someone care someone care today scrambled creatures locked tomorrow double feature heaven pillow silence competes hell twenty four hour service guaranteed make tell streets full pressmen bent getting hung buried legendary curtains drawn round baby bankrupt sucks sleeping theatre financiers count fifteen round table white dressed kill caress juicy hands withered dress urchin one hear stairs seen said dead dead dead,Diamond Dogs,1974,0.252,0.559,0.189,-0.9186
1984,someday let must agree times telling changing free read tea leaves tracks tv beware savage jaw 1984 split pretty cranium fill full air tell eighty brother care shooting anything tomorrow never beware savage jaw 1984 come see come see remember played night movie role said would last guess enrolled 1984 could ask 1984 could ask looking vehicle looking ride looking party looking side looking treason knew 65 beware savage jaw 1984 come see come see remember played night movie role said would last guess enrolled 1984 could ask 1984 could ask 1984 1984 1984 1984 1984,Diamond Dogs,1974,0.102,0.729,0.169,0.7783
Big Brother,talk dust roses powder noses live last year capers give steel give steel give pulsars unreal build glass asylum hint mayhem build better whirlpool living sin really begin please saviour saviour show us hear graphically someone claim us someone follow someone shame us brave apollo someone fool us someone like want big brother big brother know think awful square made everyone every lord think overdose knew going someone claim us someone follow someone shame us brave apollo someone fool us someone like someone claim us someone follow someone shame us brave apollo someone fool someone like someone claim us someone follow someone shame us brave apollo someone fool someone like want big brother,Diamond Dogs,1974,0.2,0.594,0.207,-0.2315
Chant of the Ever Circling Skeletal Family,brother ooh ooh shake shake move move brother ooh ooh shake shake move move brother ooh ooh shake shake move move brother ooh ooh shake shake move move brother ooh ooh shake shake move move brother ooh ooh shake shake move move bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro bro,Diamond Dogs,1974,0.169,0.831,0.0,-0.9081
Rosalyn,rosalyn tell rosalyn tell night day hide seek game play treat sure sin rosalyn rosalyn rosalyn girl rosalyn girl holding tight hard say goodnight love see really love love true really love rosalyn got know got know got know rosalyn rosalyn girl rosalyn girl holding tight hard say goodnight love see really love love true really love rosalyn got know got know got know rosalyn got know got know got know rosalyn rosalyn rosalyn rosalyn rosalyn rosalyn ooh,Pin Ups,1973,0.07,0.525,0.405,0.9918
Here Comes the Night,ohhhhh comes comes night comes night comes night see right window walking street girl another guy arms around like used makes want die comes comes night comes night comes night go funny look good together wonder wrong accept fact chosen simply let comes comes night comes night comes night turning lights holding way used see closing eyes telling lies exactly like told comes comes night,Pin Ups,1973,0.122,0.696,0.183,0.4404
