Song_Name,Song_Lyrics,Album_Name,Album_Year,Negative,Neutral,Positive,Compound
God Bless the Girl,jacqui loves work work love says god given job jacqui loves work jacqui aiming stars landed clouds sitting corner afraid run away like slave without chains wonder turns danger spring turns winter god bless girl treasure treasure every single moment god bless girl fire turns water light becomes darkness god bless girl wanna hurt wanna fun god bless girl god bless girl wanna hurt wanna fun god bless girl need another friend need reason jacqui loves work work love wonder turns danger spring turns winter god bless girl always treasure treasure every single moment god bless girl fire turns water light becomes darkness god bless girl wanna hurt wanna fun god bless girl god bless girl god bless girl god bless girl wanna hurt wanna fun god bless girl god bless girl years pass swiftly god bless girl god bless girl years pass swiftly god bless girl god bless girl god bless girl god bless girl god bless girl god bless girl god bless girl god bless girl,The Next Day,2013,0.099,0.305,0.596,0.9991
New Killer Star,see great white scar battery park flare glides look scar nuclear baby discover star idiot trance idiot questions like stars eyes let face music dance ever say ready ready ready never say better better better ever say ready ready ready never said better better better better corners buildings remember sidewalks trees thinking got better way discovered star got better way ready set go got better way new killer star got better way ready set go got better way stars eyes got better way ready set go got better way discovered star got better way ready set go see life comic like way bible bubbles action little details color first horseback bomber discover star small thin chance like seeing jesus dateline like stars eyes let face music dance ever say ready ready ready never said better better better ever say ready ready ready never said better better better better corners buildings remember sidewalks trees thinking got better way discovered star got better way ready set go got better way new killer star got better way ready set go got better way stars eyes got better way ready set go got better way discovered star got better way ready set go got better way got better way ready set go got better way got better way ready set go got better way oooh oo got better way ready set go,Reality,2003,0.304,0.475,0.22,-0.9756
Pablo Picasso,swinging back porch jumping big log pablo feeling better hanging fingernails swinging back porch jumping big log pablo feeling better hanging fingernails well people try pick girls get called assholes never happened pablo picasso girls would turn color juicy avocado would drive street el dorado could walk street girls could resist stare pablo picasso never called asshole like wow swinging back porch jumping big log pablo feeling better hanging fingernails jumping big log pablo feeling better hanging fingernails could walk street girls could resist stare pablo picasso never got called asshole well girls would turn color juicy avocado would drive street el dorado well 5 3 girls could resist stare pablo picasso never got called asshole new york wow swinging back porch jumping big log pablo feeling better hanging fingernails swinging back porch jumping big log pablo feeling better hanging fingernails,Reality,2003,0.036,0.722,0.242,0.9806
Never Get Old,better take care think better go better get room better take care think think personal history better take care breathe deep movie gets real star turns round looks eye says got mind countdown 3 2 1 forever screaming gonna living till end time forever sky splits open dull red skull head hangs low cause never gonna enough money never gonna enough drugs never ever gonna get old never gonna enough sex never ever gonna get old never ever gonna get high never ever gonna get low never ever gonna get old ahh ooh ooh better take care moon flows edges world awake age light living better take care looking future solid rock want wanna living like living like forever putting gloves bury bones marshland forever think soul need thing ring bell pure clean air running street life never gonna let die never ever gonna get old never ever gonna get never ever gonna get never ever gonna get old never ever gonna get never ever gonna get never ever gonna get old never ever gonna get never ever get old,Reality,2003,0.044,0.722,0.233,0.9895
The Loneliest Guy,streets damp warm empty smell metal weeds buildings pictures hard drive luckiest guy loneliest guy steam floor shards mirror frame clouds green low sign nothing luckiest guy loneliest guy pages turned errors left unlearned well luckiest guy loneliest guy world,Reality,2003,0.291,0.455,0.255,-0.0516
Looking for Water,silver leaves spinning round take hand go looking water lost god new york minute know heart looking looking looking looking water looking water looking looking looking breathe air raise fight got left beat night looking water looking water looking water looking looking take hand go leave behind nothing found looking water looking water looking water looking looking looking water looking everywhere looking water looking looking water looking water looking water looking looking eat candy ends earth pain head look eyes never means never dawns early light baby dumb forever looking looking looking looking looking water looking looking looking water looking water looking looking looking water looking water looking looking looking water looking water looking looking looking water looking water looking looking looking water looking water,Reality,2003,0.092,0.847,0.062,-0.4939
She'll Drive the Big Car,waited moon sick fear cold felt old course never showed lugged suitcase bus melted home snow north along riverside slips beneath sheets husband quiet devoted wife strangers sad nervous dawn early light love lies like dead cloud shabby yellow lawn riverside drive big car sit behind keep eye jessica south along hudson turn radio high find station playing sad sad soul little bit louder little bit louder south along hudson bring little bit faster little bit faster little bit louder little bit louder bring little bit angry little bit angry south along hudson bring drive big car talk insane bring little bit louder little bit louder little bit angry bring way back millennium meant racing light promised dream life take back street life away violent water cormorants leaves riverside drive big car sit behind bursting bubbles ludlow grand south along hudson turn radio way high find station playing sad sad soul little bit louder little bit louder south along hudson bring little bit faster little bit faster little bit louder little bit louder bring little bit angry little bit angry south along hudson bring little bit faster little bit faster little bit louder little bit louder bring little bit angry little bit angry south along hudson bring drive big car sit behind bring keep eye jessica little bit faster bring little bit faster,Reality,2003,0.214,0.712,0.074,-0.9902
Days,hold tight keep cool going mad know need friend well need one days life days life days owe done done gave gave free gave nothing return little left days life days life days owe red eyed pain knocking door crazy brain tangles pleading gentle voice storms keep pounding head heart pray soothe sorry soul days life days life days life days life days owe aah days life days life days life days life days owe aah days life days life days life days life days owe aah,Reality,2003,0.097,0.725,0.177,0.8126
Fall Dog Bombs the Moon,hope little girl come blow away care much win anyway dog god damn rich exploding man talk night oil hands dog fall dog cruel smart smart time breaks heart full dog bombs moon devil market place devil bleeding face full dog bombs moon dog always moron someone hate corporate tie wig date dog blackest years sound shape depth underground dog fall dog cruel smart smart time breaks heart full dog bombs moon devil market place devil bleeding face full dog bombs moon dog,Reality,2003,0.276,0.515,0.209,-0.9081
"Try Some, Buy Some",way back time someone said try tried buy bought ooh tried denied opened eyes saw thing thing see till called love love came woah woah life seen grey sky met big fry seen die get high ooh seemed would lonely opened eyes saw thing feel thing know till called love love sure grow woah woah try baby buy try baby buy woah woah woah woah,Reality,2003,0.109,0.654,0.237,0.9001
